order_id;date
8886;2016-05-29
11424;2016-07-10
19361;2016-11-26
4489;2016-03-17
7112;2016-04-30
18209;2016-11-06
7810;2016-05-11
3824;2016-03-06
18673;2016-11-14
16187;2016-09-30
12314;2016-07-24
19260;2016-11-25
2651;2016-02-13
15614;2016-09-18
10992;2016-07-03
17625;2016-10-28
9981;2016-06-16
10258;2016-06-21
19347;2016-11-26
1504;2016-01-26
18739;2016-11-16
17843;2016-10-31
20287;2016-12-11
18950;2016-11-19
5534;2016-04-03
7866;2016-05-12
2202;2016-02-06
12250;2016-07-24
14665;2016-09-02
2691;2016-02-14
4468;2016-03-16
4216;2016-03-12
14795;2016-09-04
16678;2016-10-09
11615;2016-07-13
16244;2016-10-01
9976;2016-06-16
20400;2016-12-13
14792;2016-09-04
4050;2016-03-09
20545;2016-12-15
14122;2016-08-24
13109;2016-08-07
186;2016-01-03
4753;2016-03-21
12569;2016-07-29
9487;2016-06-08
10332;2016-06-23
18329;2016-11-09
14959;2016-09-07
12982;2016-08-05
6436;2016-04-18
3146;2016-02-22
14786;2016-09-04
4479;2016-03-17
1448;2016-01-24
6060;2016-04-12
4079;2016-03-10
17925;2016-11-01
14100;2016-08-23
10914;2016-07-02
4142;2016-03-11
5116;2016-03-27
16364;2016-10-02
5321;2016-03-31
3373;2016-02-26
14803;2016-09-04
8087;2016-05-15
18645;2016-11-14
1590;2016-01-27
140;2016-01-03
12579;2016-07-29
1798;2016-01-31
17930;2016-11-01
10692;2016-06-29
7512;2016-05-06
5809;2016-04-08
1198;2016-01-20
3775;2016-03-05
6761;2016-04-24
14478;2016-08-30
11435;2016-07-10
14898;2016-09-06
19965;2016-12-05
11550;2016-07-12
9229;2016-06-04
2047;2016-02-03
20887;2016-12-21
14894;2016-09-06
954;2016-01-16
4681;2016-03-20
559;2016-01-09
4175;2016-03-11
2877;2016-02-17
6640;2016-04-22
18045;2016-11-04
6001;2016-04-11
13039;2016-08-06
705;2016-01-12
9799;2016-06-13
10862;2016-07-02
16362;2016-10-02
18281;2016-11-08
5995;2016-04-11
15109;2016-09-10
3887;2016-03-07
13808;2016-08-18
12197;2016-07-23
9922;2016-06-15
18755;2016-11-16
16466;2016-10-04
5226;2016-03-29
9803;2016-06-13
17902;2016-11-01
8004;2016-05-14
5816;2016-04-08
4304;2016-03-14
2235;2016-02-06
11907;2016-07-18
3652;2016-03-03
17463;2016-10-24
20133;2016-12-08
12811;2016-08-02
5344;2016-03-31
12272;2016-07-24
6225;2016-04-15
21063;2016-12-24
6396;2016-04-18
5824;2016-04-08
7733;2016-05-10
9307;2016-06-05
20839;2016-12-20
7822;2016-05-12
8338;2016-05-20
11669;2016-07-14
63;2016-01-01
16057;2016-09-27
7288;2016-05-02
14892;2016-09-06
8052;2016-05-15
20843;2016-12-20
4576;2016-03-18
9513;2016-06-09
16595;2016-10-07
8438;2016-05-21
6783;2016-04-24
1607;2016-01-27
12227;2016-07-23
18378;2016-11-09
16866;2016-10-13
19557;2016-11-28
362;2016-01-06
3878;2016-03-06
20503;2016-12-14
8742;2016-05-27
2398;2016-02-09
19489;2016-11-27
18671;2016-11-14
918;2016-01-16
18377;2016-11-09
20757;2016-12-18
4007;2016-03-09
3498;2016-02-28
15740;2016-09-20
16195;2016-09-30
11504;2016-07-11
1589;2016-01-27
5901;2016-04-09
3693;2016-03-04
4956;2016-03-25
2464;2016-02-10
10102;2016-06-19
9834;2016-06-14
19835;2016-12-03
10921;2016-07-02
18786;2016-11-16
8873;2016-05-29
18375;2016-11-09
402;2016-01-07
21113;2016-12-26
6939;2016-04-27
13006;2016-08-05
1787;2016-01-30
14499;2016-08-30
13338;2016-08-11
8695;2016-05-26
7174;2016-05-01
4957;2016-03-25
12906;2016-08-03
6204;2016-04-15
16074;2016-09-28
19945;2016-12-05
11354;2016-07-09
3109;2016-02-21
3685;2016-03-03
12271;2016-07-24
2442;2016-02-10
6009;2016-04-11
3321;2016-02-25
8520;2016-05-23
4720;2016-03-20
15945;2016-09-26
5976;2016-04-11
5379;2016-04-01
2386;2016-02-09
21213;2016-12-28
1980;2016-02-02
14604;2016-09-01
7220;2016-05-01
17846;2016-10-31
10507;2016-06-25
11790;2016-07-16
7698;2016-05-09
3136;2016-02-22
4256;2016-03-13
14251;2016-08-26
12600;2016-07-30
194;2016-01-03
17792;2016-10-30
11345;2016-07-09
19385;2016-11-26
7560;2016-05-07
11802;2016-07-16
4719;2016-03-20
1070;2016-01-18
9199;2016-06-03
3773;2016-03-05
257;2016-01-05
18244;2016-11-07
20735;2016-12-18
13713;2016-08-16
3036;2016-02-20
7624;2016-05-08
9292;2016-06-05
7876;2016-05-12
4731;2016-03-21
19022;2016-11-21
9146;2016-06-02
2034;2016-02-03
9108;2016-06-02
1047;2016-01-18
19565;2016-11-29
309;2016-01-06
11694;2016-07-15
11859;2016-07-17
19999;2016-12-06
16642;2016-10-08
10856;2016-07-01
19642;2016-11-30
16373;2016-10-02
11677;2016-07-14
1505;2016-01-26
20764;2016-12-18
5416;2016-04-01
9100;2016-06-02
8794;2016-05-28
7245;2016-05-02
10521;2016-06-26
3969;2016-03-08
17248;2016-10-20
35;2016-01-01
6792;2016-04-24
10855;2016-07-01
6719;2016-04-23
4288;2016-03-13
17154;2016-10-17
14624;2016-09-01
18709;2016-11-15
82;2016-01-02
792;2016-01-14
6207;2016-04-15
6892;2016-04-26
6251;2016-04-15
17777;2016-10-30
16676;2016-10-09
17119;2016-10-17
11135;2016-07-05
8510;2016-05-22
12850;2016-08-02
20882;2016-12-21
5313;2016-03-31
1781;2016-01-30
4752;2016-03-21
4647;2016-03-19
12832;2016-08-02
15280;2016-09-12
20702;2016-12-18
18108;2016-11-05
3972;2016-03-08
9396;2016-06-07
7303;2016-05-02
11271;2016-07-07
5714;2016-04-06
4763;2016-03-21
7450;2016-05-05
18473;2016-11-11
18889;2016-11-19
9766;2016-06-13
5249;2016-03-30
2173;2016-02-05
18389;2016-11-10
1684;2016-01-29
16890;2016-10-14
530;2016-01-09
4954;2016-03-25
18546;2016-11-12
11342;2016-07-09
9448;2016-06-08
5525;2016-04-03
16233;2016-10-01
2211;2016-02-06
15354;2016-09-14
20904;2016-12-21
6616;2016-04-21
13780;2016-08-18
551;2016-01-09
10900;2016-07-02
11047;2016-07-04
6705;2016-04-23
12334;2016-07-25
17623;2016-10-27
10999;2016-07-03
5660;2016-04-05
7024;2016-04-28
6024;2016-04-11
15832;2016-09-22
18517;2016-11-12
4261;2016-03-13
17795;2016-10-30
15916;2016-09-23
14035;2016-08-22
16387;2016-10-03
21221;2016-12-29
19453;2016-11-27
10827;2016-07-01
21273;2016-12-30
5696;2016-04-06
6448;2016-04-18
15450;2016-09-15
5496;2016-04-02
9924;2016-06-15
2073;2016-02-04
6179;2016-04-14
13924;2016-08-20
1501;2016-01-26
15986;2016-09-26
14222;2016-08-25
16795;2016-10-11
4041;2016-03-09
13084;2016-08-06
20421;2016-12-13
5222;2016-03-29
14106;2016-08-23
12043;2016-07-20
19605;2016-11-29
16253;2016-10-01
19127;2016-11-23
17561;2016-10-25
11971;2016-07-19
6687;2016-04-22
4611;2016-03-19
5447;2016-04-02
3558;2016-03-01
946;2016-01-16
13053;2016-08-06
14920;2016-09-07
10823;2016-07-01
5418;2016-04-01
15370;2016-09-14
5959;2016-04-10
19632;2016-11-30
8698;2016-05-26
10298;2016-06-22
21339;2016-12-31
12062;2016-07-21
5670;2016-04-05
12738;2016-08-01
19157;2016-11-23
15561;2016-09-17
16820;2016-10-11
2328;2016-02-08
15984;2016-09-26
9462;2016-06-08
9571;2016-06-10
16520;2016-10-06
2319;2016-02-08
17406;2016-10-23
902;2016-01-15
5781;2016-04-07
8479;2016-05-22
18050;2016-11-04
6292;2016-04-16
13861;2016-08-19
11361;2016-07-09
2236;2016-02-06
5866;2016-04-09
19499;2016-11-27
10630;2016-06-27
12704;2016-07-31
3043;2016-02-20
2241;2016-02-07
8057;2016-05-15
18943;2016-11-19
7298;2016-05-02
4751;2016-03-21
9368;2016-06-06
15448;2016-09-15
8250;2016-05-18
16531;2016-10-06
16243;2016-10-01
12935;2016-08-04
14559;2016-08-31
1128;2016-01-19
18840;2016-11-18
5469;2016-04-02
10933;2016-07-03
14895;2016-09-06
311;2016-01-06
5390;2016-04-01
8016;2016-05-15
10797;2016-07-01
4303;2016-03-14
12605;2016-07-30
14212;2016-08-25
12658;2016-07-30
7207;2016-05-01
2627;2016-02-13
12123;2016-07-22
5203;2016-03-29
11591;2016-07-13
14741;2016-09-04
2604;2016-02-13
19910;2016-12-04
16829;2016-10-13
17216;2016-10-20
8669;2016-05-25
332;2016-01-06
5494;2016-04-02
15021;2016-09-08
20120;2016-12-08
10710;2016-06-29
7525;2016-05-07
7887;2016-05-13
10502;2016-06-25
4125;2016-03-11
11876;2016-07-17
20069;2016-12-07
14965;2016-09-07
13284;2016-08-10
15410;2016-09-15
17926;2016-11-01
264;2016-01-05
10213;2016-06-20
15683;2016-09-19
12362;2016-07-25
10339;2016-06-23
1277;2016-01-22
15442;2016-09-15
14;2016-01-01
2383;2016-02-09
11032;2016-07-04
6324;2016-04-16
6148;2016-04-13
11795;2016-07-16
12024;2016-07-20
1109;2016-01-19
9202;2016-06-03
6202;2016-04-14
13543;2016-08-14
15929;2016-09-23
9873;2016-06-15
1446;2016-01-24
5839;2016-04-08
8620;2016-05-24
12717;2016-07-31
6478;2016-04-19
10968;2016-07-03
5355;2016-03-31
5708;2016-04-06
11690;2016-07-14
18684;2016-11-15
17373;2016-10-22
17157;2016-10-17
18046;2016-11-04
20869;2016-12-20
14097;2016-08-23
10920;2016-07-02
11764;2016-07-16
998;2016-01-17
5124;2016-03-27
6626;2016-04-21
11749;2016-07-15
493;2016-01-08
18689;2016-11-15
8840;2016-05-28
7393;2016-05-04
13417;2016-08-12
8259;2016-05-18
16153;2016-09-29
7895;2016-05-13
2074;2016-02-04
5132;2016-03-27
4100;2016-03-10
15238;2016-09-12
12826;2016-08-02
20174;2016-12-09
7719;2016-05-10
1567;2016-01-27
1760;2016-01-30
10742;2016-06-29
809;2016-01-14
12573;2016-07-29
1216;2016-01-21
21151;2016-12-27
12625;2016-07-30
13849;2016-08-19
15431;2016-09-15
8905;2016-05-29
1217;2016-01-21
8133;2016-05-16
19834;2016-12-03
15468;2016-09-15
18304;2016-11-08
645;2016-01-11
21343;2016-12-31
20078;2016-12-07
15517;2016-09-16
20199;2016-12-09
10554;2016-06-26
12705;2016-07-31
948;2016-01-16
14093;2016-08-23
16724;2016-10-10
16540;2016-10-06
10570;2016-06-26
16111;2016-09-29
13114;2016-08-07
20058;2016-12-07
6066;2016-04-12
17891;2016-11-01
12217;2016-07-23
6117;2016-04-13
4228;2016-03-13
6928;2016-04-26
13447;2016-08-12
5437;2016-04-01
13787;2016-08-18
8805;2016-05-28
10739;2016-06-29
6075;2016-04-12
6959;2016-04-27
8277;2016-05-19
6580;2016-04-21
6611;2016-04-21
249;2016-01-04
8246;2016-05-18
5571;2016-04-04
13196;2016-08-08
14923;2016-09-07
613;2016-01-10
20320;2016-12-11
9756;2016-06-13
10657;2016-06-28
19369;2016-11-26
2891;2016-02-18
19357;2016-11-26
11329;2016-07-08
12124;2016-07-22
11041;2016-07-04
3105;2016-02-21
14130;2016-08-24
13886;2016-08-19
13616;2016-08-15
16747;2016-10-10
7946;2016-05-14
12974;2016-08-05
5700;2016-04-06
12556;2016-07-29
7995;2016-05-14
9689;2016-06-11
11385;2016-07-09
12266;2016-07-24
1723;2016-01-29
18421;2016-11-10
13452;2016-08-12
8167;2016-05-16
6693;2016-04-23
4595;2016-03-18
14925;2016-09-07
7070;2016-04-29
15536;2016-09-17
17566;2016-10-27
3588;2016-03-02
3667;2016-03-03
732;2016-01-12
5485;2016-04-02
7355;2016-05-03
17000;2016-10-15
18433;2016-11-10
534;2016-01-09
7027;2016-04-28
17433;2016-10-23
16974;2016-10-15
1417;2016-01-24
16056;2016-09-27
3973;2016-03-08
7728;2016-05-10
8286;2016-05-19
11588;2016-07-13
11453;2016-07-10
16055;2016-09-27
8370;2016-05-20
8866;2016-05-29
15997;2016-09-27
5285;2016-03-30
6864;2016-04-25
21183;2016-12-28
12350;2016-07-25
21178;2016-12-27
18839;2016-11-18
533;2016-01-09
17400;2016-10-23
7074;2016-04-29
1179;2016-01-20
10476;2016-06-25
14242;2016-08-26
669;2016-01-11
6408;2016-04-18
4099;2016-03-10
1939;2016-02-02
2010;2016-02-03
17871;2016-10-31
11543;2016-07-12
6552;2016-04-20
801;2016-01-14
5792;2016-04-07
12749;2016-08-01
883;2016-01-15
9840;2016-06-14
9377;2016-06-06
14371;2016-08-28
667;2016-01-11
18784;2016-11-16
13562;2016-08-14
9096;2016-06-02
19065;2016-11-21
15858;2016-09-22
1384;2016-01-23
13045;2016-08-06
9817;2016-06-14
3156;2016-02-22
2842;2016-02-17
12728;2016-07-31
13742;2016-08-17
8215;2016-05-17
8024;2016-05-15
19024;2016-11-21
5549;2016-04-03
8980;2016-05-31
6985;2016-04-27
1050;2016-01-18
20727;2016-12-18
2955;2016-02-19
11211;2016-07-06
8846;2016-05-29
9860;2016-06-14
2885;2016-02-17
10209;2016-06-20
6934;2016-04-26
2959;2016-02-19
1042;2016-01-18
3030;2016-02-20
10292;2016-06-22
9196;2016-06-03
19954;2016-12-05
6367;2016-04-17
11755;2016-07-15
8302;2016-05-19
3458;2016-02-27
6486;2016-04-19
11674;2016-07-14
9077;2016-06-01
10749;2016-06-30
5466;2016-04-02
6757;2016-04-24
9660;2016-06-11
12624;2016-07-30
7872;2016-05-12
13971;2016-08-21
5607;2016-04-04
1068;2016-01-18
10395;2016-06-24
17048;2016-10-16
2314;2016-02-08
11900;2016-07-18
14688;2016-09-03
15281;2016-09-12
10140;2016-06-19
1894;2016-02-01
2192;2016-02-06
21049;2016-12-23
18342;2016-11-09
3912;2016-03-07
18747;2016-11-16
7246;2016-05-02
3382;2016-02-26
4784;2016-03-22
7193;2016-05-01
15186;2016-09-11
14467;2016-08-29
3090;2016-02-21
15604;2016-09-18
5857;2016-04-08
14477;2016-08-30
20947;2016-12-22
7181;2016-05-01
4557;2016-03-18
15322;2016-09-13
6779;2016-04-24
6717;2016-04-23
20977;2016-12-22
17069;2016-10-16
13947;2016-08-21
2421;2016-02-10
571;2016-01-10
10842;2016-07-01
